"ind","d_one","altura","d_two","ar","arp","prot","volume","biov","biomassa"
90,221.68,59.5,208.38,28835.26,8976.28,31.12952684,275089.2134,85633.9705,0.009676639
91,246.76,66.5,159.42,26154.98,17315.16,66.20215347,282523.7083,187036.779,0.021135156
92,223.49,71.5,198.56,30014.6,30014.6,100,322377.6276,322377.6276,0.036428672
93,274.45,70,182.34,34507.27,31761.04,92.04159008,376471.5702,346510.4194,0.039155677
94,264.78,52,174.04,32581.44,26270.38,80.62989236,257698.5169,207782.0368,0.02347937
95,282.57,60.5,184.56,34756.03,27305.85,78.56435272,339763.1699,266932.7352,0.030163399
96,244.8,63.5,208.84,31834.07,31834.07,100,332441.0848,332441.0848,0.037565843
97,158.21,60,124.52,14005.29,14005.29,100,123544.4889,123544.4889,0.013960527
98,103.21,43,83.11,6237.54,6237.54,100,38419.51008,38419.51008,0.004341405
99,205.21,59.5,134.94,19922.82,19922.82,100,177514.5542,177514.5542,0.020059145
100,106.23,36,78.73,6242.88,6242.88,100,31803.2784,31803.2784,0.00359377
101,218.05,60,158.21,23608.03,16813.93,71.22123278,219141.0006,156074.9221,0.017636466
102,158.82,50.5,121.49,13949.63,11693.42,83.82602263,102239.0337,85702.9155,0.009684429
103,177.1,60,154.44,19761.15,19761.15,100,167553.2029,167553.2029,0.018933512
104,166.83,54.5,128.9,15761.71,15761.71,100,122757.6595,122757.6595,0.013871616
105,229.08,58.5,152.02,24548.12,11843.59,48.24642376,218987.6414,105653.7055,0.011938869
106,266.26,69,167.88,30421.04,30421.04,100,334308.7535,334308.7535,0.037776889
107,221.68,56,173.48,26146.58,26146.58,100,224589.6593,224589.6593,0.025378631
108,105.02,45.5,102.6,8095.61,8095.61,100,48821.73546,48821.73546,0.005516856
109,151.56,34.5,101.4,10079.37,6471.31,64.20351669,56882.9091,36520.82803,0.004126854
110,163.8,54,121.49,14559.45,12496.18,85.82865424,113462.7188,97383.52459,0.011004338
111,124.52,44,100.79,9411.37,5396.82,57.34361735,57337.6962,32879.50911,0.003715385
112,284.28,70,168.12,33680.84,33680.84,100,366045.0439,366045.0439,0.04136309
113,177.71,39,125.72,15065.77,8335.56,55.32780601,92566.70996,51215.12972,0.00578731
114,133.73,43,98.37,9455.74,6002.5,63.47996032,59805.90727,37964.7662,0.004290019
115,273.02,70,168.04,30892.01,30892.01,100,349373.0826,349373.0826,0.039479158
116,147.79,22,113.64,10615.67,9027.71,85.04135867,38600.25712,32826.18311,0.003709359
