"ind","altura","d1","d2","ar","arp","prot","volume","biov","biomassa"
150,234.37,102,218.66,38447.87,23693.57,61.62518236,2736970.761,1686663.223,0.190592944
151,136.91,69,124.82,13050.62,4119.15,31.56286828,617400.6208,194869.3447,0.022020236
152,245.25,110,212.01,38396.42,28046.66,73.04498701,2994723.08,2187495.084,0.247186945
153,138.12,64,118.77,12377.02,5637.91,45.55143322,549720.4869,250405.5605,0.028295828
154,150.81,64,148.39,15567.33,15567.33,100,749917.2976,749917.2976,0.084740655
155,158.21,70,119.98,14412.35,5233.75,36.31434152,695727.9493,252649.0236,0.02854934
156,253.11,110,203.55,38497.7,24900.54,64.68059131,2967370.112,1919312.535,0.216882316
157,334.08,144,297.31,74790.98,20597.68,27.54032639,7488953.058,2062482.115,0.233060479
158,192.06,87,178.01,24404.25,4077.77,16.70926171,1557396.519,260229.4602,0.029405929
159,132.07,48,110.92,10897.23,3954.22,36.28646913,368174.6634,133597.5856,0.015096527
160,134.49,60,129.5,12217.04,7395.82,60.5369222,547154.0709,331230.2342,0.037429016
161,156.85,55,138.72,17167.12,5990.9,34.89752504,626592.1,218665.135,0.02470916
162,225.31,103,200.52,32584.13,21417.15,65.72877655,2436542.609,1601509.647,0.18097059
163,130.26,59,115,11633.71,7941.71,68.26463785,462763.9807,315904.1555,0.03569717
164,218.05,98,202.19,33967.42,7217.66,21.24877309,2262249.294,480700.2192,0.054319125
165,220.47,108,188.13,28713.2,28713.2,100,2345470.286,2345470.286,0.265038142
166,218.66,104,206.42,32950,27777.41,84.30169954,2457837.008,2071998.37,0.234135816
167,156.4,76,144.76,16439.12,12776.63,77.72088774,900943.4616,700221.2563,0.079125002
168,102,38,91.57,7077.19,7077.19,100,185838.463,185838.463,0.020999746
169,213.67,86,185.11,29444.38,29444.38,100,1781027.005,1781027.005,0.201256052
170,128.9,52,123.91,11599.28,8008.87,69.04626839,434871.7943,300262.7462,0.03392969
171,230.9,102,190.55,32926.04,15463.35,46.96389241,2349804.224,1103559.528,0.124702227
172,166.25,90,150.86,19605.64,14756.33,75.26573986,1181889.54,889557.9068,0.100520043
173,147.2,72,139.28,12054.31,5665.01,46.99572186,772907.7943,363233.5973,0.041045396
174,203.4,115,198.41,30892.18,10705.09,34.65307401,2430026.269,842078.8016,0.095154905
175,155.19,72,131.92,14768.92,9251.51,62.64175038,771801.2801,483469.8313,0.054632091
176,96.56,40,87.95,6325.55,5146.89,81.36667958,177865.4988,144723.2505,0.016353727
177,108.65,32,100.79,7328.75,2569,35.05372676,183482.9764,64317.62121,0.007267891
178,95.96,56,72.68,5078.17,5078.17,100,204499.2913,204499.2913,0.02310842
179,123.91,42,112.43,9619.91,5827.5,60.57748981,306363.1177,185587.0864,0.020971341
180,206.7,94,182.21,27781.12,23593.56,84.92659763,1853698.766,1574283.292,0.177894012
181,93.44,42,80.65,5183.98,4403.58,84.94592958,165723.8883,140775.6974,0.015907654
182,156.47,84,153.82,16864.02,10286.35,60.99583611,1058575.402,645686.9171,0.072962622
183,221.68,100,218.66,35645.66,28328.68,79.47301298,2538016.721,2017038.358,0.227925334
184,158.77,66,132.16,15946.49,8481.63,53.18806835,725121.9181,385678.3414,0.043581653
185,155.91,60,132.16,15970.02,10176.79,63.72434098,647327.2272,412505.0096,0.046613066
186,324.91,120,266.1,66539.92,50035.88,75.19678413,5432350.974,4084953.235,0.461599716
187,180.85,78,158.6,20945.17,20945.17,100,1171426.167,1171426.167,0.132371157
188,124.46,65,112.12,10887.15,10887.15,100,474924.8178,474924.8178,0.053666504
189,109.48,49,98.68,8148.68,8148.68,100,277177.9203,277177.9203,0.031321105
190,220.47,90,212.46,33196.04,6895.19,20.7711221,2207332.771,458487.785,0.05180912
191,129.5,62,122.85,12326.88,7612.82,61.75788196,516458.2759,318953.6924,0.036041767
192,155.04,80,149.6,16427.47,8402.95,51.1518207,971547.33,496964.1483,0.056156949
193,149.6,64,123.46,13785.31,4161.66,30.18909259,618922.7728,186847.1689,0.02111373
194,237.09,106,210.04,37526.87,37526.87,100,2763883.504,2763883.504,0.312318836
195,181.48,88,163.05,22242.7,9493.09,42.67957577,1363423.792,581903.4904,0.065755094
196,183.3,96,159.27,22913.6,16634.59,72.59701662,1467460.096,1065332.25,0.120382544
197,116.66,48,102,8272.48,5122.14,61.91782875,299062.5304,185173.0254,0.020924552
198,158.21,100,147.18,17377.14,9154.57,52.6816841,1219217.96,642304.5541,0.072580415
199,119.08,74,105.02,9255.52,3365.54,36.36251664,484552.8832,176195.6228,0.019910105
200,99.43,40,94.14,6604.73,5140.52,77.83088786,196042.5067,152581.6236,0.017241723
201,103.21,56,96.41,7261.88,7261.88,100,291763.1978,291763.1978,0.032969241
202,198.41,97,178.31,25927.02,21997.14,84.84253107,1796840.855,1524485.261,0.172266835
203,158.82,90,128.29,15002.43,10468.2,69.77669618,960150.0937,669961.0137,0.075705595
204,149,72,128.14,13253.22,1375.78,10.38072257,719783.8646,74718.7661,0.008443221
205,118.47,43,102,8918.95,4187,46.94498792,272066.8561,127721.7527,0.014432558
206,98.98,48,92.18,6203.74,6203.74,100,229310.5379,229310.5379,0.025912091
207,161.84,68,136.76,16330.71,13223.08,80.97063753,788047.6839,638087.2337,0.072103857
208,128.29,72,109.25,10909.91,10909.91,100,528378.7822,528378.7822,0.059706802
209,162.44,66,147.92,18371.12,11980,65.21104865,830352.384,541481.497,0.061187409
210,141.74,70,131.32,13696.19,10903.64,79.61075306,682212.9591,543114.8742,0.061371981
211,115.45,48,103.81,8704.61,4862.29,55.85879207,301212.4982,168253.663,0.019012664
212,100.19,39,95.35,6977.25,6977.25,100,195078.004,195078.004,0.022043814
213,110.46,40,87.95,7501.93,7501.93,100,203469.5836,203469.5836,0.022992063
214,168.84,84,158.68,19579.33,19579.33,100,1178353.087,1178353.087,0.133153899
