"ind","altura","d1","d2","ar","arp","prot","volume","biov","biomassa"
101,222.44,48,149.75,24602.6,24602.6,100,1180924.8,1180924.8,0.133444502
102,271.2,48,177.19,35549.47,35549.47,100,1706374.56,1706374.56,0.192820325
103,212.56,41,171.29,27193.12,7716.28,28.37585389,1114917.92,316367.48,0.035749525
104,210.65,55,145.82,23676.31,23676.31,100,1302197.05,1302197.05,0.147148267
105,111.82,40,87.95,7476.14,7476.14,100,299045.6,299045.6,0.033792153
106,242.53,66,218.66,37932.78,37932.78,100,2503563.48,2503563.48,0.282902673
107,240.57,32,136.76,24041.98,24041.98,100,769343.36,769343.36,0.0869358
108,128.9,35,127.9,11586.89,6283.54,54.22973723,405541.15,219923.9,0.024851401
109,259,74,136.76,26464.49,26464.49,100,1958372.26,1958372.26,0.221296065
110,175.69,60,153.46,19133.4,8143.01,42.55913742,1148004,488580.6,0.055209608
111,196.35,60,161.33,21356.06,21356.06,100,1281363.6,1281363.6,0.144794087
112,222.28,44,180.12,29861.56,29861.56,100,1313908.64,1313908.64,0.148471676
113,181.33,26,174.08,23210.78,9042.36,38.95758781,603480.28,235101.36,0.026566454
114,221.08,55,176.5,25450.34,25450.34,100,1399768.7,1399768.7,0.158173863
115,157.61,42,94.75,10915.97,10915.97,100,458470.74,458470.74,0.051807194
116,142.35,38,86.74,9316.38,9316.38,100,354022.44,354022.44,0.040004536
117,221.68,40,163.05,26755.07,15183.26,56.74909466,1070202.8,607330.4,0.068628335
118,122.25,30,105.63,9364.38,9364.38,100,280931.4,280931.4,0.031745248
119,136.91,40,111.82,11431.88,9136.58,79.9219376,457275.2,365463.2,0.041297342
120,164.26,36,111.22,12301.5,12301.5,100,442854,442854,0.050042502
121,147.79,35,131.92,16451.99,16451.99,100,575819.65,575819.65,0.06506762
122,186.32,47,145.37,11711.14,11711.14,100,550423.58,550423.58,0.062197865
123,180.12,38,124.52,14045.78,8599.89,61.22757156,533739.64,326795.82,0.036927928
124,178.92,28,122.7,15821.06,9297.47,58.76641641,442989.68,260329.16,0.029417195
125,171.66,34,125.27,13608.04,13608.04,100,462673.36,462673.36,0.05228209
126,183.3,32,156.4,20341.74,17600.61,86.52460409,650935.68,563219.52,0.063643806
127,147.79,29,111.22,12353.58,7978.8,64.58694565,358253.82,231385.2,0.026146528
128,164.26,36,123.91,14890.54,14890.54,100,536059.44,536059.44,0.060574717
129,154.44,35,137.51,13549.95,13549.95,100,474248.25,474248.25,0.053590052
130,131.92,29,95.2,9557.01,5164.11,54.03478703,277153.29,149759.19,0.016922788
131,149.6,32,111.82,10097.43,10097.43,100,323117.76,323117.76,0.036512307
132,162.44,29,132.52,15841.31,15841.31,100,459397.99,459397.99,0.051911973
133,146.58,40,144.01,16367.67,16367.67,100,654706.8,654706.8,0.073981868
134,152.02,42,135.09,15965.16,15965.16,100,670536.72,670536.72,0.075770649
135,212.61,56,153.23,22243.03,14486.48,65.12817723,1245609.68,811242.88,0.091670445
136,217.9,69,133.73,21145.47,21145.47,100,1459037.43,1459037.43,0.16487123
137,169.24,35,124.52,15625.44,15625.44,100,546890.4,546890.4,0.061798615
138,133.13,35,133.13,12289.47,12289.47,100,430131.45,430131.45,0.048604854
139,150.2,30,123.91,13690.27,13690.27,100,410708.1,410708.1,0.046410015
140,221.08,52,122.1,21384.02,10842.93,50.70576066,1111969.04,563832.36,0.063713057
141,205.21,42,121.49,18044.79,18044.79,100,757881.18,757881.18,0.085640573
142,205.21,28,121.49,17840.61,17840.61,100,499537.08,499537.08,0.05644769
143,203.4,40,159.27,17870.93,8021.9,44.88798289,714837.2,320876,0.036258988
