"ind","altura","d1","raio","ar","arp","prot","volume","biov","biomassa"
100,56,122.63,61.32,11811.12,11811.12,100,422711.7234,422711.7234,0.047766425
101,36,93.05,46.52,6799.87,4563.5,67.11157713,146806.5845,98524.2142,0.011133236
102,63,152.38,76.19,18237.32,2971.35,16.29268993,705379.779,114925.3403,0.012986563
103,90,210.65,105.32,34850.44,8050.81,23.10102828,1949840.816,450433.2782,0.05089896
104,46,114.15,57.07,10233.27,4497.61,43.95085833,286303.7667,125832.9629,0.014219125
105,40,137.27,68.63,14799.18,7270.01,49.12441095,329453.1814,161841.9347,0.018288139
106,64,153.75,76.88,18566.51,4706.8,25.35102181,731450.0039,185430.05,0.020953596
107,32,103.08,51.54,8344.72,3123.05,37.42546185,150681.0848,56393.09189,0.006372419
108,38,91.97,45.98,6643.2,4688.86,70.58134634,154925.6969,109348.6427,0.012356397
109,54,134.63,67.32,14235.62,14235.62,100,466864.3082,466864.3082,0.052755667
110,46,116.71,58.36,10698.13,4223.4,39.47792745,297063.1186,117274.3625,0.013252003
111,40,128.16,64.08,12899.59,7854.44,60.88906702,291513.3922,177499.7847,0.020057476
112,46,145.77,72.89,16688.95,2712.18,16.25135194,434861.0301,70670.79646,0.0079858
113,36,139.1,69.55,15195.89,8243.75,54.24986625,297966.3816,161646.3635,0.018266039
114,36,115.03,57.51,10391.59,10391.59,100,211458.0939,211458.0939,0.023894765
115,40,134.16,67.08,14135.4,14135.4,100,316236.4697,316236.4697,0.035734721
116,34,137.09,68.55,14760.73,3479.31,23.57139518,271544.8465,64006.90886,0.007232781
117,82,186.53,93.26,27326.67,6943.96,25.4109264,1408970.371,358032.4238,0.040457664
118,42,131.58,65.79,13597.01,10092.29,74.22433314,324346.8412,240744.28,0.027204104
119,36,204.36,102.18,32801.06,32801.06,100,614839.6632,614839.6632,0.069476882
120,35,125.48,62.74,12367.23,12367.23,100,238859.1107,238859.1107,0.02699108
121,55,204.36,102.18,32801.06,17252.29,52.59674535,989130,520250.1872,0.058788271
122,36,128.29,64.15,12926.99,4629.27,35.81088869,257139.3744,92083.89516,0.01040548
123,30,85.77,42.89,5778.05,2861.92,49.5308971,100824.0174,49939.04031,0.005643112
124,30,101.81,50.91,8141.06,5011.94,61.56372757,136274.1887,83895.47031,0.009480188
125,36,119.44,59.72,11204.88,4261.07,38.02869821,226108.6266,85986.16725,0.009716437
126,44,154.26,77.13,18689.04,14682.03,78.55957288,455770.1518,358051.0846,0.040459773
127,38,124.23,62.12,12121.39,5462.63,45.06603616,259069.3237,116752.2751,0.013193007
128,36,111.62,55.81,9785.27,7212.14,73.704047,200564.3324,147824.0298,0.016704115
129,30,100.93,50.46,8000.39,31191.16,389.8704938,134124.5618,522912.0915,0.059089066
130,35,81.9,40.95,5267.86,2584.86,49.0685022,114641.8276,56253.02769,0.006356592
131,35,112.72,56.36,9979.54,4820.29,48.30172533,197083.7353,95194.84448,0.010757017
132,30,106.42,53.21,8895.16,5254.84,59.0752724,147559.2294,87171.01669,0.009850325
133,75,206.97,103.48,33643.46,15263.44,45.36822313,1482412.77,672544.3331,0.07599751
134,76,203.61,101.81,32561.37,19866.91,61.01374113,1467259.356,895229.825,0.10116097
135,44,133.75,66.58,13925,5578.05,40.05780969,350982.043,140595.7188,0.015887316
136,35,108.85,54.43,9306.43,5996.77,64.43684635,185328.1084,119419.5885,0.013494413
137,48,142.05,71.03,15848.11,7632.89,48.16277777,438309.5457,211102.0525,0.023854532
138,86,187.58,93.79,27635.92,1993.68,7.214089489,1521352.653,109751.7418,0.012401947
139,26,82.31,41.15,5320.73,3041.39,57.16114142,78359.25593,44791.0451,0.005061388
140,64,181.67,90.83,25920.84,18051.43,69.64060578,966647.6753,673179.2969,0.076069261
141,46,134.94,67.47,14302.12,14302.12,100,379891.7113,379891.7113,0.042927763
142,28,114.01,57,10208.81,5464,53.52239879,154392.5238,82634.58228,0.009337708
143,39,141.41,70.7,15705.29,15705.29,100,337272.1353,337272.1353,0.038111751
144,46,105.56,52.78,8751.9,8751.9,100,252252.3596,252252.3596,0.028504517
145,50,117.11,58.55,10770.94,4516.56,41.93283038,334692.3877,140345.9912,0.015859097
146,60,166.98,83.49,21899.06,21899.06,100,770059.0326,770059.0326,0.087016671
147,36,115.61,57.8,10496.83,4659.14,44.3861623,213349.0757,94697.46701,0.010700814
148,75,217.57,108.78,37177.08,10614.84,28.55210791,1614946.118,461101.1584,0.052104431
149,50,113.48,56.74,10113.25,4311.83,42.63545349,318303.0994,135709.9699,0.015335227
150,30,121.64,60.82,11621.38,6150.48,52.92383521,188451.8471,99735.94501,0.011270162
151,50,133.91,66.96,14084.61,8739.79,62.0520554,417594.2348,259125.8059,0.029281216
152,42,126.88,63.44,12644.71,6540.7,51.72676953,304311.3325,157410.4216,0.017787378
153,78,233.65,116.83,42877.47,19908.28,46.43063128,1920809.669,891844.0552,0.100778378
154,36,107.1,53.55,9008,7123.33,79.07781972,186588.1256,147549.8215,0.01667313
155,40,125.19,62.59,12308.69,6902.23,56.07607308,279654.615,156819.3263,0.017720584
156,24,90.67,45.34,6457.47,2422.13,37.50896249,84736.88181,31783.92521,0.003591584
157,36,120.52,60.26,11407.96,7988.71,70.02750711,229772.3696,160903.8624,0.018182136
